Comment,Designator,Footprint,LCSC,Quantity
22R,R307,R_1206_3216Metric,C114943,1
10uF 50V,"C302,C303,C304,C305,C306,C307",CP_EIA-7343-31_Kemet-D,C117038,6
30R,R310,R_1206_3216Metric,C137313,1
300R,"R301,R303,R305",R_1206_3216Metric,C137315,3
10K,"R501,R502,R503,R504,R509,R510,R511,R512,R517,R518",R_1206_3216Metric,C1489,10
SMAZ27-ZJN,D302,D_SMA,C155318,1
LM1084-ADJ,"U301,U302,U303",TO-263-3_TabPin2,C259971,3
BLUE,D701,LED_1210_3225Metric,C284945,1
IRFR7540TRPBF,"Q501,Q502,Q503,Q504,Q505,Q506,Q507,Q508,Q509,Q510",IRFR7540TRPBF,C3007637,10
900R,"R302,R309",R_1206_3216Metric,C333083,2
20K,"R713,R714,R715,R716,R717,R718,R719,R720,R737,R738,R739,R740,R741,R742,R743,R744,R805",R_0805_2012Metric,C4328,17
25V 2200uF 16x16.5,C301,CP_Elec_16x17.5,C487339,1
1N4002 M2,"D304,D305,D306",D_SMA,C5189701,3
TestPoint,"TP701,TP702,TP703,TP704,TP705,TP706,TP707,TP708,TP709,TP710,TP711,TP712,TP713,TP714,TP715,TP716,TP717,TP801",TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,C5277086,18
BSS138 JI,"Q701,Q702,Q703,Q704,Q705,Q706,Q707,Q708,Q709,Q710,Q711,Q712,Q713,Q714,Q715,Q716,Q801",SOT-23,C52895,17
LTV-846S,"IC701,IC702,IC703,IC704,IC801",LTV846S,C571217,5
4K7,"R401,R402",R_0805_2012Metric,C60816,2
SS10100,"D301,D303,D311",D_SMC,C7469115,3
200R,"R308,R505,R506,R507,R508,R513,R514,R515,R516,R521,R522,R701,R702,R711,R712,R721,R722,R723,R724,R725,R726,R735,R736,R745,R746,R747,R748,R809",R_1206_3216Metric,C844654,28
470R,R306,R_1206_3216Metric,C872782,1
GREEN,D308,LED_1210_3225Metric,,1
SMAJ24A,D520,D_SMA,,1
RED,D521,LED_1210_3225Metric,,1
SMAJ24A,D516,D_SMA,,1
1K140,R732,R_0805_2012Metric,,1
SMAJ24A,D522,D_SMA,,1
1K140,R704,R_0805_2012Metric,,1
Conn_01x04,J408,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
2100R,R311,R_1206_3216Metric,,1
RED,D505,LED_1210_3225Metric,,1
RED,D501,LED_1210_3225Metric,,1
Barrel_Jack_MountingPin,J301,BarrelJack_Wuerth_6941xx301002,,1
SMAJ24A,D512,D_SMA,,1
1K140,R733,R_0805_2012Metric,,1
RED,D503,LED_1210_3225Metric,,1
BLUE,D704,LED_1210_3225Metric,,1
1K140,R705,R_0805_2012Metric,,1
1K140,R729,R_0805_2012Metric,,1
RED,D511,LED_1210_3225Metric,,1
BLUE,D703,LED_1210_3225Metric,,1
BLUE,D705,LED_1210_3225Metric,,1
SMAJ24A,D508,D_SMA,,1
YELLOW,D309,LED_1210_3225Metric,,1
BLUE,D709,LED_1210_3225Metric,,1
1K140,R710,R_0805_2012Metric,,1
RED,D515,LED_1210_3225Metric,,1
SMAJ24A,D506,D_SMA,,1
BLUE,D310,LED_1210_3225Metric,,1
1K140,R801,R_0805_2012Metric,,1
1K140,R728,R_0805_2012Metric,,1
Arduino_Due_Shield,A401,Arduino_Due_Shield,,1
BLUE,D712,LED_1210_3225Metric,,1
1K140,R706,R_0805_2012Metric,,1
RED,D507,LED_1210_3225Metric,,1
Conn_02x10_Odd_Even,J601,IDC-Header_2x10_P2.54mm_Vertical,,1
RED,D519,LED_1210_3225Metric,,1
WHITE,D307,LED_1210_3225Metric,,1
1K140,R731,R_0805_2012Metric,,1
SMAJ24A,D502,D_SMA,,1
BLUE,D715,LED_1210_3225Metric,,1
RED,D509,LED_1210_3225Metric,,1
1K140,R703,R_0805_2012Metric,,1
BLUE,D702,LED_1210_3225Metric,,1
BLUE,D713,LED_1210_3225Metric,,1
SMAJ24A,D514,D_SMA,,1
1K140,R708,R_0805_2012Metric,,1
BLUE,D707,LED_1210_3225Metric,,1
1K140,R734,R_0805_2012Metric,,1
1K140,R709,R_0805_2012Metric,,1
2K580,R304,R_1206_3216Metric,,1
AT24C256C-MAHL-E,IC401,SON50P300X200X60-9L,,1
Fuse,F501,Fuseholder_Clip-5x20mm_Keystone_3512P_Inline_P23.62x7.27mm_D1.02x2.41x1.02x1.57mm_Horizontal,,1
1K140,R727,R_0805_2012Metric,,1
BLUE,D706,LED_1210_3225Metric,,1
BLUE,D711,LED_1210_3225Metric,,1
BLUE,D708,LED_1210_3225Metric,,1
BLUE,D801,LED_1210_3225Metric,,1
BLUE,D716,LED_1210_3225Metric,,1
Screw_Terminal_01x02,J501,TerminalBlock_bornier-2_P5.08mm,,1
RED,D513,LED_1210_3225Metric,,1
SMAJ24A,D510,D_SMA,,1
1K140,R707,R_0805_2012Metric,,1
1K140,R730,R_0805_2012Metric,,1
BLUE,D714,LED_1210_3225Metric,,1
Conn_02x07_Odd_Even,J201,IDC-Header_2x07_P2.54mm_Vertical,,1
SMAJ24A,D504,D_SMA,,1
BLUE,D710,LED_1210_3225Metric,,1
